Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S56711946,Canada Goose,Branta canadensis,297,8,CA-ON,Hamilton,L2074288,Hamilton--Van Wagner's Beach (Barangas On The Beach),43.2557054,-79.7612572,2019-05-24,06:45 PM,eBird - Traveling Count,45,1,1.5,,2
S38046632,Canada Goose,Branta canadensis,297,70,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2017-07-09,07:00 AM,eBird - Traveling Count,80,1,1.,,2
S38836555,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2017-08-26,09:00 AM,eBird - Stationary Count,120,0,,,2
S42143101,Canada Goose,Branta canadensis,297,5,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2018-01-21,11:00 AM,eBird - Stationary Count,15,0,,,2
S43190294,Canada Goose,Branta canadensis,297,8,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2018-02-23,08:30 AM,eBird - Stationary Count,20,1,,,2
S47804890,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2018-08-12,09:00 AM,eBird - Stationary Count,45,1,,,2
S48819573,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2018-09-29,10:50 AM,eBird - Stationary Count,90,0,,,2
S51989106,Canada Goose,Branta canadensis,297,350,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2019-01-20,11:00 AM,eBird - Stationary Count,20,0,,,2
S53817613,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2019-03-10,11:00 AM,eBird - Traveling Count,30,0,.8,,2
S69077994,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L602320,Hamilton--Windermere Basin,43.2658001,-79.7810411,2020-05-15,09:00 AM,eBird - Stationary Count,7,0,,,2
S53360990,Canada Goose,Branta canadensis,297,30,CA-ON,Hamilton,L8752414,Powerline Road,43.1965854,-79.7163019,2019-03-03,03:40 PM,eBird - Stationary Count,12,1,,,2
S54938157,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L762367,Saltfleet--8th Road East,43.1862477,-79.6818209,2019-04-14,07:40 AM,eBird - Stationary Count,10,1,,,2
